,DBN,SchoolName,SchoolType,Rating
342,X306,P.S. 306,Elementary,4.0
343,X307,Luisa Pineiro Fuentes School of Science and Discovery,Elementary,5.0
344,X308,Bronx Dance Academy School,Middle,4.0
345,X310,P.S. 310 Marble Hill,Elementary,4.0
346,X315,P.S. 315 Lab School,K-8,3.0
347,X331,The Bronx School of Young Leaders,Middle,4.0
348,X340,P.S. 340,Elementary,5.0
349,X342,International School for Liberal Arts,Middle,5.0
350,X344,Ampark Neighborhood,Elementary,3.0
351,X360,P.S. 360,Elementary,3.0
352,X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,Middle,5.0
353,X368,In-Tech Academy (M.S. / High School 368),Middle,4.0
354,X382,"Elementary School for Math, Science, and Technology",Elementary,4.0
355,X386,School for Environmental Citizenship,Elementary,5.0
356,X390,M.S. 390,Middle,5.0
357,X391,The Angelo Patri Middle School,Middle,3.0
358,X396,P.S. 396,Elementary,4.0
359,X447,CRESTON ACADEMY,Middle,5.0
360,X459,EAST FORDHAM ACADEMY FOR THE ARTS,Middle,3.0
361,X016,P.S. 016 Wakefield,Elementary,3.0
362,X019,P.S. 019 Judith K. Weiss,K-8,4.0
363,X021,P.S. 021 Philip H. Sheridan,Elementary,2.0
364,X041,P.S. 041 Gun Hill Road,Elementary,5.0
365,X068,P.S. 068 Bronx,Elementary,3.0
366,X076,P.S. 076 The Bennington School,Elementary,2.0
367,X078,P.S. 078 Anne Hutchinson,Elementary,4.0
368,X083,P.S. 083 Donald Hertz,K-8,3.0
369,X087,P.S. 087 Bronx,Elementary,4.0
370,X089,P.S. 089 Bronx,K-8,5.0
371,X096,P.S. 096 Richard Rodgers,Elementary,2.0
372,X097,P.S. 097 Bronx,Elementary,4.0
373,X103,P.S. 103 Hector Fontanez,Elementary,2.0
374,X105,P.S. 105 Sen Abraham Bernstein,Elementary,3.0
375,X106,P.S. 106 Parkchester,Elementary,3.0
376,X108,P.S. 108 Philip J. Abinanti,Elementary,3.0
377,X111,P.S. 111 Seton Falls,Elementary,3.0
378,X112,P.S. 112 Bronxwood,Elementary,1.0
379,X121,P.S. 121 Throop,Elementary,5.0
380,X127,J.H.S. 127 The Castle Hill,Middle,4.0
381,X142,MS 142 John Philip Sousa,Middle,
382,X144,J.H.S. 144 Michelangelo,Middle,4.0
383,X153,P.S. 153 Helen Keller,Elementary,5.0
384,X160,P.S. 160 Walt Disney,Elementary,3.0
385,X169,BAYCHESTER ACADEMY,Elementary,4.0
386,X175,P.S. 175 City Island,K-8,3.0
387,X178,P.S. 178 - Dr. Selman Waksman,Elementary,4.0
388,X180,M.S. 180 Dr. Daniel Hale Williams,Middle,3.0
389,X181,I.S. 181 Pablo Casals,Middle,3.0
390,X189,Cornerstone Academy for Social Action,Elementary,4.0
391,X194,PS/MS 194,K-8,4.0
392,X270,Academy for Scholarship and Entrepreneurship: A College Board School,Middle,
393,X272,Globe School for Environmental Research,Middle,4.0
394,X287,The Forward School,Middle,3.0
395,X289,The Young Scholars Academy of The Bronx,Middle,3.0
396,X322,Aspire Preparatory Middle School,Middle,
397,X326,Bronx Green Middle School,Middle,4.0
398,X370,School of Diplomacy,Middle,2.0
399,X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),Middle,4.0
400,X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,Middle,3.0
401,X498,PS/MS 11X498 - VAN NEST ACADEMY,K-8,5.0
402,X529,One World Middle School at Edenwald,Middle,3.0
403,X532,Baychester Middle School,Middle,3.0
404,X556,Bronx Park Middle School,Middle,
405,X566,Pelham Gardens Middle School,Middle,
406,X006,P.S. 006 West Farms,Elementary,3.0
407,X044,P.S. 044 David C. Farragut,Elementary,4.0
408,X047,P.S. 047 John Randolph,Elementary,3.0
409,X050,P.S. 050 Clara Barton,Elementary,
410,X057,P.S. 057 Crescent,Elementary,3.0
411,X061,P.S. 061 Francisco Oller,Elementary,4.0
412,X066,P.S. 066 School of Higher Expectations,Elementary,4.0
413,X067,P.S. 067 Mohegan School,Elementary,3.0
414,X092,P.S. 092 Bronx,Elementary,3.0
415,X098,J.H.S. 098 Herman Ridder,Middle,5.0
416,X102,P.S. 102 Joseph O. Loretan,Elementary,
417,X129,P.S. 129 Twin Parks Upper,Middle,5.0
418,X134,P.S. 134 George F. Bristow,Elementary,4.0
419,X150,P.S. 150 Charles James Fox,Elementary,4.0
420,X190,E.S.M.T- I.S. 190,Middle,2.0
421,X195,P.S. 195,Elementary,2.0
422,X196,P.S. 196,Elementary,5.0
423,X211,P.S. 211,K-8,4.0
424,X212,P.S. 212,K-8,1.0
425,X214,P.S. 214,K-8,4.0
426,X217,School of Performing Arts,Middle,3.0
427,X242,Mott Hall V,Middle,4.0
428,X245,New Day Academy,Middle,
429,X267,Bronx Latin,Middle,5.0
430,X271,East Bronx Academy for the Future,Middle,4.0
431,X273,Frederick Douglass Academy V. Middle School,Middle,4.0
432,X286,Fannie Lou Hamer Middle School,Middle,3.0
433,X300,The School of Science and Applied Learning,Elementary,5.0
434,X316,Kappa III,Middle,4.0
435,X318,"I.S. X318 Math, Science & Technology Through Arts",Middle,5.0
436,X341,Accion Academy,Middle,4.0
437,X372,Urban Assembly School for Wildlife Conservation,Middle,4.0
438,X383,Emolior Academy,Middle,4.0
439,X384,Entrada Academy,Middle,3.0
440,X463,URBAN SCHOLARS COMMUNITY SCHOOL,Elementary,3.0
441,X691,Bronx Little School,Elementary,3.0
442,K003,P.S. 003 The Bedford Village,Elementary,3.0
443,K008,P.S. 008 Robert Fulton,Elementary,3.0
444,K009,P.S. 009 Teunis G. Bergen,Elementary,4.0
445,K011,P.S. 011 Purvis J. Behan,Elementary,5.0
446,K020,P.S. 020 Clinton Hill,Elementary,4.0
447,K044,P.S. 044 Marcus Garvey,Elementary,3.0
448,K046,P.S. 046 Edward C. Blum,Elementary,5.0
449,K054,P.S. 054 Samuel C. Barnes,Elementary,4.0
450,K056,P.S. 056 Lewis H. Latimer,Elementary,5.0
451,K067,P.S. 067 Charles A. Dorsey,Elementary,1.0
452,K093,P.S. 093 William H. Prescott,Elementary,2.0
453,K103,Satellite Three,Middle,
454,K113,M.S. 113 Ronald Edmonds Learning Center,Middle,1.0
455,K133,P.S. 133 William A. Butler,Elementary,3.0
456,K256,P.S. 256 Benjamin Banneker,Elementary,5.0
457,K265,Dr. Susan S. McKinney Secondary School of the Arts,Middle,3.0
458,K266,M.S. K266 - Park Place Community Middle School,Middle,3.0
